,y,Advt_12M_Usd,Asset_Turnover,Bb_Yld,Bv,Capex_Ps_Cf,Cash_Per_Share,Cf_Sales,Debtequity,Div_Yld,Eps,Mkt_Cap_12M_Usd,Mom_11M_Usd,Pb,Pe,Roe,Share_Turn_12M,Vol1Y_Usd
749,-0.008,-0.7231110338856648,-1.0862559617465541,-1.5675233544923528,-1.6763557040078159,-1.623160287986155,-0.3270621896826973,1.5701231360275714,0.022158210707797672,1.6332156919855223,0.06827226624866937,-0.26994590122922335,1.2061110361438354,0.0064554855593037235,-0.8169089352731728,0.003258170265600122,-0.9479609931637112,-1.2742019853061233
170104,-0.036000000000000004,0.5926876802857226,0.2718251598831049,1.4310964915651703,0.36157775301974227,0.7936954118145456,0.3431616723474728,0.22499104185660473,0.1270574250416751,-0.07471681899036602,1.4588877311364845,0.7022815676967555,0.6129868590721137,0.640382054394088,-1.3785462310970964,1.416781062065184,0.6460952545937874,1.0118280800748831
79905,0.08900000000000001,-0.27296936851124287,-0.28533632591367825,-0.016513089290185703,-0.7437420880799501,0.26829199881439314,-0.8209113511786124,0.8267606629330897,0.2669230441535113,-0.9112551917132501,-0.9746893324171921,-0.37411313004272095,0.7525454889713421,0.9221271960984363,1.3173127888577365,-0.3147844803893063,0.1262943042380816,0.14590760076389583
154332,0.026000000000000002,-0.030585394848092577,-1.051433368884255,0.3626227533147884,0.15433028281355013,0.8287223060145558,-1.244210632460825,1.4993267100185734,1.001217544490653,0.936100381383119,-0.14032005348450288,0.3897798812562624,-1.6199512193155456,0.46429134082887,0.5684630610925052,0.35663889321549597,-0.6360804229502874,-1.5166597195131997
115225,0.22,0.7658190900451154,1.3861481314766715,0.08688759505662552,-0.2947059026332002,-1.3779720285860841,-0.5387118303238038,-0.022796449174889388,-1.5163635995224034,-0.24899564664096682,-1.2875778120169505,0.5286695196742596,1.066552406244607,1.168654195089741,0.830560465810336,1.310766845180215,1.131242808259113,0.7000967075229274
95184,-0.11800000000000001,-0.8962424436450578,0.5155833099191978,-0.5335165110242415,-0.5364946178737577,-0.11700383738571837,0.5548113129885794,0.11879640284310726,-1.2366323612987304,-1.0506782538337307,0.7288146120703813,-0.8949492741102097,1.2758903510934498,-0.9796525104059158,-0.9666788808262192,-0.032079902029389505,-0.428160042808005,-0.16582377178805963
73226,0.005,-0.6884847519337861,1.4557933172012696,0.6038910167906812,-0.8128245781486809,0.618560940814495,-0.22123736936214422,-0.766158922269371,-0.6422034800734255,0.34355236737107603,0.24209919935964602,-0.6518924068787151,-1.0268270422438237,0.3938550554027828,-1.490873690261881,1.204752628295246,-0.01231928252344015,0.3537285157985326
115147,-0.023,-0.9654950075488149,-0.04157817587758555,-0.29224824754834877,-0.2947059026332002,0.6535878350145052,0.4489864926680261,-1.049344626305364,-0.2575730275158753,-0.9809667227734905,0.7983453853147722,-1.485230237386697,1.6596765833163287,-1.7192335073798306,-1.7529710949797122,-0.6681652033392022,0.7500554446649287,1.4274699101441568
102175,-0.054000000000000006,-0.6884847519337861,1.2816803528897747,-0.5679834058065116,-0.4674121278050271,0.7236416234145252,-0.5739867704306548,-1.1909374783233606,-0.8520019087411802,-0.35356294323132725,-0.4879739197064568,-0.8949492741102097,-1.4106132744667026,-0.9444343676928723,0.2689231699864124,-0.8095174925191604,0.43817487445150516,1.358196271799278
115940,0.385,0.454182552478208,-0.42462669736287395,0.052420700274355116,-0.2947059026332002,0.7586685176145354,-0.8209113511786124,0.6497695979105943,1.1410831636024892,-1.3643801436048122,-0.8703931725506059,0.2161678332337664,-1.2361649870926665,1.2038723378027847,1.6168526799638292,-0.3501225526842957,0.9579758248072113,1.358196271799278
165790,-0.172,0.9389504998045086,0.23700256702080594,-0.9815861431937564,0.2924952629510114,0.7586685176145354,-0.8561862912854634,0.9329553019465872,-0.04777459884812062,-1.3643801436048122,0.06827226624866937,0.5981143388832582,0.2989799417988489,0.8164727679593056,0.830560465810336,0.9573861222303192,1.3391631884013957,0.7693703458678064
